正式法令名,略称法令名１,略称法令名２,略称法令名３,略称法令名４,略称法令名５
ハンセン病療養所入所者等に対する補償金の支給等に関する法律施行規則,ハンセン病等補償法施行規則,,,,
ヒトに関するクローン技術等の規制に関する法律,クローン技術規制法,クローン法,ヒトクローン規制法,,
フロン類の使用の合理化及び管理の適正化に関する法律,フロン排出・抑制法,,,,
フロン類の使用の合理化及び管理の適正化に関する法律施行令,フロン排出・抑制法施行令,,,,
ホームレスの自立の支援等に関する特別措置法,ホームレス自立支援法,ホームレス自立支援特別措置法,,,
マンションの管理の適正化の推進に関する法律,マンション管理適正化法,,,,
マンションの管理の適正化の推進に関する法律施行規則,マンション管理適正化法施行規則,,,,
マンションの管理の適正化の推進に関する法律施行令,マンション管理適正化法施行令,,,,
マンションの建替え等の円滑化に関する法律,マンション建て替え円滑化法,,,,
マンションの建替え等の円滑化に関する法律による不動産登記に関する政令,マンション建て替え円滑化法による不動産登記に関する政令,,,,
マンションの建替え等の円滑化に関する法律施行規則,マンション建て替え円滑化法施行規則,,,,
マンションの建替え等の円滑化に関する法律施行令,マンション建て替え円滑化法施行令,,,,
愛がん動物用飼料の安全性の確保に関する法律,ペットフード安全法,,,,
愛がん動物用飼料の安全性の確保に関する法律施行規則,ペットフード安全法施行規則,,,,
愛がん動物用飼料の安全性の確保に関する法律施行令,ペットフード安全法施行令,,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律,カルタヘナ議定書担保法,カルタヘナ担保法,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律における主務大臣を定める政令,カルタヘナ議定書担保法主務大臣を定める政令,カルタヘナ担保法主務大臣を定める政令,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律施行規則,カルタヘナ議定書担保法施行規則,カルタヘナ担保法施行規則,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第三十二条の規定による立入検査等に関する省令,カルタヘナ議定書担保法立入検査等に関する省令,カルタヘナ担保法立入検査等に関する省令,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第三十二条の規定による立入検査等及び報告に関する省令,カルタヘナ議定書担保法立入検査等及び報告に関する省令,カルタヘナ担保法立入検査等及び報告に関する省令,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第二十四条第一項の規定により納付すべき手数料の額を定める政令,カルタヘナ議定書担保法手数料の額を定める政令,カルタヘナ担保法手数料の額を定める政令,,,
育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,育児・介護休業法,,,,
育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,育児・介護休業法施行規則,,,,
一般職の職員の給与に関する法律,一般職給与法,一般職職員給与法,,,
一般職の職員の勤務時間、休暇等に関する法律,勤務時間法,,,,
沖縄県の区域内における位置境界不明地域内の各筆の土地の位置境界の明確化等に関する特別措置法,沖縄位置境界明確化法,,,,
沖縄県の区域内における位置境界不明地域内の各筆の土地の位置境界の明確化等に関する特別措置法施行規則,沖縄位置境界明確化法施行規則,,,,
沖縄県の区域内における位置境界不明地域内の各筆の土地の位置境界の明確化等に関する特別措置法施行令,沖縄位置境界明確化法施行令,,,,
化学物質の審査及び製造等の規制に関する法律,化審法,,,,
化学物質の審査及び製造等の規制に関する法律の一部を改正する法律の施行に伴う経過措置を定める政令,化審法一部改正法施行に伴う経過措置政令,,,,
化学物質の審査及び製造等の規制に関する法律の規定に基づく立入検査をする環境省の職員の携帯する身分を示す証明書の様式を定める省令,化審法身分証明書様式省令,,,,
化学物質の審査及び製造等の規制に関する法律施行令,化審法施行令,,,,
化学兵器の禁止及び特定物質の規制等に関する法律,化学兵器禁止法,,,,
化学兵器の禁止及び特定物質の規制等に関する法律施行規則,化学兵器禁止法施行規則,,,,
化学兵器の禁止及び特定物質の規制等に関する法律施行令,化学兵器禁止法施行令,,,,
家畜排せつ物の管理の適正化及び利用の促進に関する法律,ふん尿法,,,,
家畜排せつ物の管理の適正化及び利用の促進に関する法律施行規則,ふん尿法施行規則,,,,
家畜排せつ物の管理の適正化及び利用の促進に関する法律施行令,ふん尿法施行令,,,,
火薬類取締法,火取法,,,,
火薬類取締法施行規則,火取法施行規則,,,,
火薬類取締法施行令,火取法施行令,,,,
貨幣回収準備資金に関する法律,貨幣回収準備資金法,,,,
貨幣回収準備資金に関する法律施行令,貨幣回収準備資金法施行令,,,,
介護労働者の雇用管理の改善等に関する法律,介護労働者法,,,,
介護労働者の雇用管理の改善等に関する法律施行規則,介護労働者法施行規則,,,,
介護労働者の雇用管理の改善等に関する法律施行令,介護労働者法施行令,,,,
海外の美術品等の我が国における公開の促進に関する法律,海外美術品等公開促進法,,,,
海外の美術品等の我が国における公開の促進に関する法律施行規則,海外美術品等公開促進法施行規則,,,,
海外の美術品等の我が国における公開の促進に関する法律施行令,海外美術品等公開促進法施行令,,,,
海外の文化遺産の保護に係る国際的な協力の推進に関する法律,文化遺産国際協力推進法,,,,
海賊行為の処罰及び海賊行為への対処に関する法律,海賊対処法,,,,
海洋生物資源の保存及び管理に関する法律,ＴＡＣ法,,,,
海洋生物資源の保存及び管理に関する法律施行規則,ＴＡＣ法施行規則,,,,
海洋生物資源の保存及び管理に関する法律施行令,ＴＡＣ法施行令,,,,
外国為替及び外国貿易法,外為法,,,,
外国為替及び外国貿易法における主務大臣を定める政令,外為法主務大臣政令,,,,
外国為替及び外国貿易法における附属の島に関する命令,外為法附属の島命令,,,,
外国為替及び外国貿易法第五十六条の規定による意見の聴取の手続に関する政令,外為法意見聴取手続政令,,,,
外国為替及び外国貿易法第六十八条第二項に規定する証票の様式を定める省令,外為法証票様式大蔵省令,,,,
外国為替及び外国貿易法第六十八条第二項に規定する証票の様式を定める省令,外為法証票様式通産省令,,,,
外国人観光旅客の旅行の容易化等の促進による国際観光の振興に関する法律,外客誘致法,,,,
外国人観光旅客の旅行の容易化等の促進による国際観光の振興に関する法律施行規則,外客誘致法施行規則,,,,
外国弁護士による法律事務の取扱いに関する特別措置法,外国弁護士法,外弁法,,,
外国弁護士による法律事務の取扱いに関する特別措置法関係手数料令,外国弁護士法関係手数料令,外弁法関係手数料令,,,
外国弁護士による法律事務の取扱いに関する特別措置法施行規則,外国弁護士法施行規則,外弁法施行規則,,,
外務省の所管する法令の規定に基づく行政手続等における情報通信の技術の利用に関する規則,外務省所管法令行政手続オンライン化法に関する規則,外務省所管法令行政手続ＩＴ利用法に関する規則,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律,原子炉等規制法,,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律の規定に基づく立入検査をする職員の携帯する身分を示す証明書の様式を定める省令,原子炉等規制法立入検査職員身分証明書様式省令,,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律施行令,原子炉等規制法施行令,,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律第八十五条第二項第一号に規定する担保金の提供等に関する命令,原子炉等規制法担保金の提供等命令,,,,
覚せい剤原料を指定する政令,覚醒剤原料指定政令,,,,
覚せい剤取締法,覚醒剤取締法,,,,
覚せい剤取締法施行規則,覚醒剤取締法施行規則,,,,
覚せい剤取締法施行令,覚醒剤取締法施行令,,,,
学校教育の水準の維持向上のための義務教育諸学校の教育職員の人材確保に関する特別措置法,学校教育人材確保法,,,,
活動火山対策特別措置法,活火山法,,,,
活動火山対策特別措置法施行令,活火山法施行令,,,,
株式会社国際協力銀行法,新ＪＢＩＣ法,,,,
株式会社国際協力銀行法施行令,新ＪＢＩＣ法施行令,,,,
官公需についての中小企業者の受注の確保に関する法律,官公需法,,,,
官公需についての中小企業者の受注の確保に関する法律施行令,官公需法施行令,,,,
官公庁施設の建設等に関する法律,官公法,,,,
官公庁施設の建設等に関する法律施行規則,官公法委任権限省令,,,,
感染症の予防及び感染症の患者に対する医療に関する法律,感染症予防法,感染症法,,,
感染症の予防及び感染症の患者に対する医療に関する法律の施行に伴う関係政令の整備に関する政令　抄,感染症予防法整備政令,,,,
感染症の予防及び感染症の患者に対する医療に関する法律及び検疫法の一部を改正する法律の施行に伴う関係政令の整備等に関する政令　抄,感染症予防法及び検疫法一部改正法の施行に伴う関係政令整備政令,,,,
感染症の予防及び感染症の患者に対する医療に関する法律施行規則,感染症予防法施行規則,,,,
感染症の予防及び感染症の患者に対する医療に関する法律施行令,感染症予防法施行令,,,,
感染症の予防及び感染症の患者に対する医療に関する法律第五十四条第一号の輸入禁止地域等を定める省令,感染症予防法輸入禁止地域等省令,,,,
環境影響評価法,環境アセスメント法,環境アセス法,,,
環境影響評価法施行規則,環境アセスメント法施行規則,環境アセス法施行規則,,,
環境影響評価法施行令,環境アセスメント法施行令,環境アセス法施行令,,,
環境省の所管する法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,環境省所管法令行政手続オンライン化法施行規則,環境省所管法令行政手続ＩＴ利用法施行規則,,,
環境省関係構造改革特別区域法施行規則,環境省関係特区法施行規則,,,,
環境省関係構造改革特別区域法第三十四条に規定する政令等規制事業に係る省令の特例に関する措置を定める省令,環境省関係特区法に規定する特例措置及び特定事業を定める省令,,,,
環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律,環境配慮促進法,,,,
観光圏の整備による観光旅客の来訪及び滞在の促進に関する法律,観光圏整備法,,,,
観光圏の整備による観光旅客の来訪及び滞在の促進に関する法律施行規則,観光圏整備法施行規則,,,,
企業立地の促進等による地域における産業集積の形成及び活性化に関する法律,企業立地促進法,,,,
企業立地の促進等による地域における産業集積の形成及び活性化に関する法律施行規則,企業立地促進法施行規則,,,,
企業立地の促進等による地域における産業集積の形成及び活性化に関する法律施行令,企業立地促進法施行令,,,,
偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律,預金者保護法,,,,
議院における証人の宣誓及び証言等に関する法律,議院証言法,,,,
急傾斜地の崩壊による災害の防止に関する法律,がけ崩れ防止法,,,,
急傾斜地の崩壊による災害の防止に関する法律施行規則,がけ崩れ防止法施行規則,,,,
急傾斜地の崩壊による災害の防止に関する法律施行令,がけ崩れ防止法施行令,,,,
牛の個体識別のための情報の管理及び伝達に関する特別措置法,牛肉トレーサビリティー法,,,,
牛の個体識別のための情報の管理及び伝達に関する特別措置法施行規則,牛肉トレーサビリティー法施行規則,,,,
牛の個体識別のための情報の管理及び伝達に関する特別措置法施行令,牛肉トレーサビリティー法施行令,,,,
牛海綿状脳症対策特別措置法,狂牛病対策特別措置法,ＢＳＥ対策特別措置法,,,
牛海綿状脳症対策特別措置法施行規則,狂牛病対策特別措置法施行規則,ＢＳＥ対策特別措置法施行規則,,,
競争の導入による公共サービスの改革に関する法律,公共サービス改革法,市場化テスト法,,,
競争の導入による公共サービスの改革に関する法律施行令,公共サービス改革法施行令,市場化テスト法施行令,,,
金融機関の信託業務の兼営等に関する法律,金融機関の信託業務の兼営等に関する法律,,,,
金融機関等の更生手続の特例等に関する法律,更生特例法,,,,
金融機関等の更生手続の特例等に関する法律施行規則,更生特例法施行規則,,,,
金融機関等の更生手続の特例等に関する法律施行令,更生特例法施行令,,,,
金融機関等の組織再編成の促進に関する特別措置法,金融機関組織再編特措法,,,,
金融機関等の組織再編成の促進に関する特別措置法施行令,金融機関組織再編特措法施行令,,,,
金融機能の強化のための特別措置に関する法律,金融機能強化法,,,,
金融機能の強化のための特別措置に関する法律施行令,金融機能強化法施行令,,,,
金融機能の再生のための緊急措置に関する法律,金融再生法,金融機能再生法,,,
金融機能の再生のための緊急措置に関する法律施行規則,金融再生法施行規則,金融機能再生法施行規則,,,
金融機能の再生のための緊急措置に関する法律施行令,金融再生法施行令,金融機能再生法施行令,,,
金融機能の再生のための緊急措置に関する法律第六十条に規定する預金保険機構の業務の特例に係る業務方法書の記載事項に関する命令,金融再生法業務方法書の記載事項命令,金融機能再生法業務方法書の記載事項命令,,,
金融機能の早期健全化のための緊急措置に関する法律,金融早期健全化法,金融機能早期健全化法,,,
金融機能の早期健全化のための緊急措置に関する法律施行規則,金融早期健全化法,金融機能早期健全化法,,,
金融機能の早期健全化のための緊急措置に関する法律施行令,金融早期健全化法施行令,金融機能早期健全化法施行令,,,
金融機能の早期健全化のための緊急措置に関する法律第十四条に規定する金融機能早期健全化業務に係る業務方法書の記載事項に関する命令,金融早期健全化法業務方法書の記載事項命令,金融機能早期健全化法業務方法書の記載事項命令,,,
金融機能の早期健全化のための緊急措置に関する法律第二条に規定する定義に関する命令,金融早期健全化法定義命令,金融機能早期健全化法第二条定義命令,,,
金融商品の販売等に関する法律,金融サービス法,,,,
金融商品の販売等に関する法律施行令,金融サービス法施行令,,,,
金融商品取引清算機関等に関する内閣府令,証取積算機関等に関する内閣府令,,,,
金融商品取引法,証取法,,,,
金融商品取引法施行令,証取法施行令,,,,
金融商品取引法第二条に規定する定義に関する内閣府令,証取法定義に関する内閣府令,,,,
金融商品取引法第百六十一条の二に規定する取引及びその保証金に関する内閣府令,証取法に規定する取引及びその保証金に関する内閣府令,,,,
銀行等の株式等の保有の制限に関する内閣府令,銀行等株式保有制限内閣府令,,,,
銀行等の株式等の保有の制限等に関する法律,銀行等株式保有制限法,,,,
銀行等の株式等の保有の制限等に関する法律施行令,銀行等株式保有制限法施行令,,,,
携帯音声通信事業者による契約者等の本人確認等及び携帯音声通信役務の不正な利用の防止に関する法律,携帯電話不正利用防止法,,,,
携帯音声通信事業者による契約者等の本人確認等及び携帯音声通信役務の不正な利用の防止に関する法律施行規則,携帯電話不正利用防止法施行規則,,,,
経済産業省の所管する法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,経済産業省所管法令行政手続オンライン化法施行規則,経済産業省所管法令行政手続ＩＴ利用法施行規則,,,
経済産業省関係構造改革特別区域法施行規則,経済産業省関係特区法施行規則,,,,
経済産業省関係構造改革特別区域法第二条第三項に規定する省令の特例に関する措置及びその適用を受ける特定事業を定める省令,経済産業省関係特区法に規定する特例措置及び特定事業を定める省令,,,,
建設工事に係る資材の再資源化等に関する法律,建設リサイクル法,建設資材再資源化法,,,
建設工事に係る資材の再資源化等に関する法律施行規則,建設リサイクル法施行規則,建設資材再資源化法施行規則,,,
建設工事に係る資材の再資源化等に関する法律施行令,建設リサイクル法施行令,建設資材再資源化法施行令,,,
建築物における衛生的環境の確保に関する法律,ビル管理法,,,,
建築物における衛生的環境の確保に関する法律施行規則,ビル管理法施行規則,,,,
建築物における衛生的環境の確保に関する法律施行令,ビル管理法施行令,,,,
建物の区分所有等に関する法律,マンション法,区分所有法,,,
建物の区分所有等に関する法律施行規則,区分所有法施行規則,,,,
研究開発システムの改革の推進等による研究開発能力の強化及び研究開発等の効率的推進等に関する法律,研究開発力強化法,,,,
研究開発システムの改革の推進等による研究開発能力の強化及び研究開発等の効率的推進等に関する法律施行令,研究開発力強化法施行令,,,,
個人情報の保護に関する法律,個人情報保護法,,,,
個人情報の保護に関する法律施行令,個人情報保護法施行令,,,,
個別労働関係紛争の解決の促進に関する法律,個別労働関係紛争解決促進法,,,,
個別労働関係紛争の解決の促進に関する法律施行規則,個別労働関係紛争解決促進法施行規則,,,,
古都における歴史的風土の保存に関する特別措置法,古都保存法,,,,
古都における歴史的風土の保存に関する特別措置法施行規則,古都保存法施行規則,,,,
古都における歴史的風土の保存に関する特別措置法施行令,古都保存法施行令,,,,
古都における歴史的風土の保存に関する特別措置法第二条第一項の市町村を定める政令,古都保存法市町村政令,,,,
雇用の分野における男女の均等な機会及び待遇の確保等に関する法律,男女雇用機会均等法,,,,
雇用の分野における男女の均等な機会及び待遇の確保等に関する法律施行規則,男女雇用機会均等法施行規則,,,,
公衆等脅迫目的の犯罪行為のための資金等の提供等の処罰に関する法律,テロ資金提供処罰法,,,,
公職にある者等のあっせん行為による利得等の処罰に関する法律,あっせん利得処罰法,,,,
公職選挙法,公選法,,,,
公職選挙法施行規則,公選法施行規則,,,,
公職選挙法施行令,公選法施行令,,,,
公正取引委員会の所管する法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,公正取引委員会所管法令行政手続オンライン化法施行規則,公正取引委員会所管法令行政手続ＩＴ利用法施行規則,,,
公文書等の管理に関する法律,公文書管理法,,,,
公文書等の管理に関する法律施行令,公文書管理法施行令,,,,
公立学校施設災害復旧費国庫負担法,学災法,,,,
公立学校施設災害復旧費国庫負担法施行規則,学災法施行規則,,,,
公立学校施設災害復旧費国庫負担法施行令,学災法施行令,,,,
厚生年金保険の保険給付及び国民年金の給付に係る時効の特例等に関する法律,年金時効特例法,,,,
厚生年金保険の保険給付及び国民年金の給付に係る時効の特例等に関する法律施行規則,年金時効特例法施行規則,,,,
厚生年金保険の保険給付及び国民年金の給付に係る時効の特例等に関する法律施行令,年金時効特例法施行令,,,,
厚生年金保険の保険給付及び国民年金の給付の支払の遅延に係る加算金の支給に関する法律,遅延加算金法,,,,
厚生年金保険の保険給付及び国民年金の給付の支払の遅延に係る加算金の支給に関する法律施行規則,遅延加算金法施行規則,,,,
厚生年金保険の保険給付及び国民年金の給付の支払の遅延に係る加算金の支給に関する法律施行令,遅延加算金法施行令,,,,
厚生年金保険の保険給付及び保険料の納付の特例等に関する法律,厚生年金特例法,,,,
厚生年金保険の保険給付及び保険料の納付の特例等に関する法律施行規則,厚生年金特例法施行規則,,,,
厚生年金保険の保険給付及び保険料の納付の特例等に関する法律施行令,厚生年金特例法施行令,,,,
厚生労働省の所管する法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,厚生労働省所管法令行政手続オンライン化法施行規則,厚生労働省所管法令行政手続ＩＴ利用法施行規則,,,
厚生労働省関係化学物質の審査及び製造等の規制に関する法律施行規則,厚生労働省化審法施行規則,,,,
厚生労働省関係牛海綿状脳症対策特別措置法施行規則,厚労省関係狂牛病対策特別措置法施行規則,厚労省関係ＢＳＥ対策特別措置法施行規則,,,
厚生労働省関係構造改革特別区域法施行規則,厚生労働省関係特区法施行規則,,,,
厚生労働省関係構造改革特別区域法第三十四条に規定する政令等規制事業に係る省令の特例に関する措置を定める省令,厚生労働省関係特区法に規定する特例措置及び特定事業を定める省令,,,,
工業標準化法,ＪＩＳ法,ジス法,,,
工業標準化法に基づく登録試験事業者等に関する省令,ＪＩＳ法認定試験事業者等省令,ジス法認定試験事業者等省令,,,
工業標準化法に基づく登録申請手数料の額の計算等に関する省令,ＪＩＳ法外国製造業者等に係る表示認定申請手数料省令,ジス法外国製造業者等に係る表示認定申請手数料省令,,,
工業標準化法に基づく登録申請手数料の額等を定める政令,ＪＩＳ法表示認定申請手数料政令,ジス法表示認定申請手数料政令,,,
工業標準化法に基づく認証機関等に関する政令,ＪＩＳ法認定機関及び検査機関政令,ジス法認定機関及び検査機関政令,,,
工業標準化法施行規則,ＪＩＳ法施行規則,ジス法施行規則,,,
工業標準化法第六十九条第一項の主務大臣等を定める政令,ＪＩＳ法主務大臣等政令,ジス法主務大臣等政令,,,
構造改革特別区域推進本部令,特区推進本部令,,,,
構造改革特別区域法,特区法,,,,
構造改革特別区域法施行規則,特区法施行規則,,,,
構造改革特別区域法施行令,特区法施行令,,,,
航空機の強取等の処罰に関する法律,ハイジャック防止法,,,,
行政機関が行う政策の評価に関する法律,行政機関政策評価法,,,,
行政機関が行う政策の評価に関する法律施行令,行政機関政策評価法施行令,,,,
行政機関の休日に関する法律,行政機関休日法,,,,
行政機関の職員の定員に関する法律,総定員法,,,,
行政機関の保有する個人情報の保護に関する法律,行政機関個人情報保護法,,,,
行政機関の保有する個人情報の保護に関する法律施行令,行政機関個人情報保護法施行令,,,,
行政機関の保有する個人情報の保護に関する法律等の施行に伴う関係法律の整備等に関する法律　抄,行政機関個人情報保護法等の施行に伴う関係法律の整備等に関する法律,,,,
行政機関の保有する情報の公開に関する法律,行政機関情報公開法,情報公開法,,,
行政機関の保有する情報の公開に関する法律施行令,行政機関情報公開法施行令,,,,
行政機関の保有する情報の公開に関する法律等に基づく手数料の納付手続の特例に関する省令,行政機関情報公開法手数料納付手続特例省令,,,,
行政事件訴訟法,行訴法,,,,
行政手続における特定の個人を識別するための番号の利用等に関する法律,マイナンバー法,番号法,,,
行政手続における特定の個人を識別するための番号の利用等に関する法律施行規則,マイナンバー法施行規則,番号法施行規則,,,
行政手続における特定の個人を識別するための番号の利用等に関する法律施行令,マイナンバー法施行令,番号法施行令,,,
行政手続等における情報通信の技術の利用に関する法律,行政手続ＩＴ利用法,行政手続オンライン化法,,,
行政手続等における情報通信の技術の利用に関する法律の施行に伴う行政機関の保有する情報の公開に関する法律に係る対象手続等を定める省令,行政手続ＩＴ利用法の施行に伴う行政機関の保有する情報の公開に関する法律に係る対象手続等を定める省令,行政手続オンライン化法の施行に伴う行政機関の保有する情報の公開に関する法律に係る対象手続等を定める省令,,,
行政手続等における情報通信の技術の利用に関する法律の施行に伴う国家公安委員会の所管する関係法令に規定する対象手続等を定める国家公安委員会規則,行政手続オンライン化法施行に伴う国家公安委委員会所管対象手続等を定める国家公安委員会規則,行政手続ＩＴ利用法施行に伴う国家公安委員会所管対象手続等を定める国家公安委員会規則,,,
行政手続等における情報通信の技術の利用に関する法律の施行に伴う独立行政法人等の保有する情報の公開に関する法律に係る対象手続等を定める省令,行政手続ＩＴ利用法の施行に伴う独立行政法人等の保有する情報の公開に関する法律に係る対象手続等を定める省令,行政手続オンライン化法の施行に伴う独立行政法人等の保有する情報の公開に関する法律に係る対象手続等を定める省令,,,
行政手続等における情報通信の技術の利用に関する法律施行令,行政手続オンライン化法施行令,行政手続ＩＴ利用法施行令,,,
高度情報通信ネットワーク社会形成基本法,ＩＴ基本法,ＩＴ法,,,
高度情報通信ネットワーク社会推進戦略本部令,ＩＴ本部令,,,,
高年齢者等の雇用の安定等に関する法律,高年齢者雇用安定法,,,,
高年齢者等の雇用の安定等に関する法律施行規則,高年齢者雇用安定法施行規則,,,,
高年齢者等の雇用の安定等に関する法律施行令,高年齢者雇用安定法施行令,,,,
高齢者、障害者等の移動等の円滑化の促進に関する法律,バリアフリー法,,,,
高齢者、障害者等の移動等の円滑化の促進に関する法律施行規則,バリアフリー法施行規則,,,,
高齢者、障害者等の移動等の円滑化の促進に関する法律施行令,バリアフリー法施行令,,,,
高齢者、障害者等の移動等の円滑化の促進に関する法律第三十九条第一項に規定する土地区画整理事業に関する省令,交通バリアフリー法土地区画整理事業省令,,,,
高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律,高齢者虐待防止法,,,,
高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律施行規則,高齢者虐待防止法施行規則,,,,
国と民間企業との間の人事交流に関する法律,官民交流法,官民人事交流法,,,
国の債権の管理等に関する法律,債権管理法,,,,
国の債権の管理等に関する法律施行令,債権管理法施行令,,,,
国の所有に係る日本たばこ産業株式会社の株式の処分に関する政令,ＪＴ株処分政令,,,,
国家公安委員会関係自動車運転代行業の業務の適正化に関する法律施行規則,国家公安委員会関係運転代行業適正化法施行規則,国家公安委員会関係自動車運転代行業法施行規則,,,
国家公務員の育児休業等に関する法律,国家公務員育児休業法,,,,
国家公務員等の旅費に関する法律,旅費法,,,,
国家賠償法,国賠法,,,,
国会に置かれる機関の休日に関する法律,国会休日法,,,,
国会議員の秘書の給与等に関する法律,国会議員秘書給与法,,,,
国会職員の育児休業等に関する法律,国会職員育児休業法,,,,
国会審議の活性化及び政治主導の政策決定システムの確立に関する法律　抄,国会審議活性化法,,,,
国会等の移転に関する法律,国会移転法,,,,
国旗及び国歌に関する法律,国旗国歌法,日の丸君が代法,国旗・国歌法,,
国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律,コンベンション法,,,,
国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律施行規則,コンベンション法施行規則,,,,
国際航海船舶及び国際港湾施設の保安の確保等に関する法律,国際船舶・港湾保安法,,,,
